,"[0, 0]","[0, 1]","[0, 2]","[1, 0]","[1, 1]","[1, 2]","[2, 0]","[2, 1]","[2, 2]"
0000000000000000,-0.2807765734229378,-0.23123483027842232,-0.34863070896510656,-0.30609064387341484,-0.2759794902471652,-0.2440400602377976,-0.3178739308593155,-0.25161160199238736,-0.25092676650485446
0100000000000000,-0.11311086756120677,-0.11361512828387071,-0.1051601033092821,-0.11512110407919424,0.08201334052439994,-0.1334782519043379,-0.1806033515838181,-0.06086408560848468,-0.08135932755657907
0100000020000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100000020000000,0.0,0.0,0.0,0.0,-0.011062175901145324,0.0,0.0,0.0,0.0
1100002020000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100012020000000,0.0,0.0,0.0,-0.013657007285364597,0.0,0.0,0.0,0.0,0.0
1100012022000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000100000000000,-0.04723794439336907,-0.05663983017122986,-0.055005222054791164,-0.0490099501,-0.07004848408728793,-0.058585895638668964,-0.06734917162633022,-0.051986668261823105,-0.04740298841638353
0000100000200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100100000200000,-0.01934608019575845,-0.01,-0.03706354923155658,-0.01,-0.010417716672176402,-0.01874499540575032,-0.01648443161411665,-0.012997497215930846,-0.01
0100102000200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100102010200000,0.0,0.0,-0.02035115014088475,0.0,0.0,0.0,0.0,0.0,0.0
0100102012200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0110102012200000,-0.018672687305113185,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0
0110122012200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000000000000,-0.03940399,-0.058803703504758255,-0.037675259731656495,-0.0587930853784284,-0.06201216770532665,-0.03709255599924455,-0.05854047083480726,-0.04964573223134462,-0.04336701205056191
1020000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1020100000000000,0.0,-0.016319191227461147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
